Question,Response
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",3
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",1
"  Depression Questions  :
In the past week, I couldn't seem to experience any positive feeling at all.",0
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,3
I'm constantly comparing myself to others. It makes me feel like a failure.,1
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,0
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,2
I'm constantly comparing myself to others. It makes me feel like a failure.,1
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,3
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,3
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,0
I felt that I had nothing to look forward to. ,1
I felt that I had nothing to look forward to. ,3
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,1
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,1
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I was unable to become enthusiastic about anything. ,2
I felt I wasn't worth much as a person. ,2
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,0
I felt I wasn't worth much as a person. ,1
I felt I wasn't worth much as a person. ,1
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,3
I felt I wasn't worth much as a person. ,2
I felt I wasn't worth much as a person. ,3
I felt that life was meaningless. ,0
I felt that life was meaningless. ,3
I felt that life was meaningless. ,3
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,0
I felt that life was meaningless. ,2
I felt that life was meaningless. ,2
I felt down-hearted and blue. ,0
I felt down-hearted and blue. ,3
I felt down-hearted and blue. ,3
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,1
I felt down-hearted and blue. ,2
I felt down-hearted and blue. ,2
